,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
0,green_synthesis using Camellia sinensis,cylindrical,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.65,26.38,26.38,0.16,30.0,2.0,Proteus,Haemophilus influenzae,8.097048,Escherichia coli,8.097048,0.0
1,green_synthesis using the methanolic extracts of marine algae (V. pachynema),spherical,disc_diffusion,Bacillus subtilis,72.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,16.0,30.0,16.0,0.16,30.0,1.0,Paracidovorax,Penicillium digitatum,10.48109,Escherichia coli,10.48109,0.0
2,chemical_synthesis by controlled precipitation of iron chloride salts,tubular,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,25.0,51.9,25.0,0.16,30.0,3.0,Listeria,Proteus mirabilis,8.161457,Escherichia coli,8.161457,0.0
3,green_synthesis using Dioscorea bulbifera tuber extract ,cube,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,1.0,2.0,37.86,0.16,30.0,2.0,Staphylococcus,Salmonella enterica subsp. enterica serovar Typhi,14.259314,Escherichia coli,14.259314,0.0
4,green_synthesis using Moringa oleifera (drumstick) fruit pulp aqueous extracts,clusters,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,66.0,8.0,10.34,0.16,30.0,2.0,Paracidovorax,Enterococcus faecium,6.165733,Escherichia coli,6.165733,0.0
5,chemical_synthesis using AgNO3,globular,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,20.34485,21.0,89.0,0.16,30.0,1.0,Staphylococcus,Serratia odorifera,8.16958,Escherichia coli,8.16958,0.0
6,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 10 mmol/kg Cu(CH3COO)2*H2O,triangles,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,81.3794,27.0,31.0,0.16,30.0,2.0,Bacillus,Enterococcus faecium,17.356367,Escherichia coli,17.356367,0.0
7,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 5 mmol/kg Cu(CH3COO)2*H2O,nanorods,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,225.0,10.0,89.0,0.16,30.0,2.0,Proteus,Pseudomonas aeruginosa,19.190742,Escherichia coli,19.190742,0.0
8,green_synthesis using Phlomis Leaf Extract,nanoplates,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,0.3,4.0,80.0,0.16,30.0,1.0,Enterobacter,Proteus sp. (in: enterobacteria),13.789021,Escherichia coli,13.789021,0.0
9,green_synthesis using Aloe-vera leaf extract. 50 mmol/kg Cu(CH3COO)2*H2O,cylindrical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,40.0,81.0,68.7,0.16,30.0,3.0,Saccharomyces,Enterobacter cloacae,9.528231,Escherichia coli,9.528231,0.0
10,green synthesis using phoenix dactylifera seed,polygonal ,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,180.0,15.8,7.99,0.16,30.0,3.0,Penicillium,Cryptococcus neoformans,6.1695313,Escherichia coli,6.1695313,0.0
11,"chemical_synthesis (sigma aldrich, 730785)",triangular,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,15.6,54.4,34.0,0.16,30.0,2.0,Enterococcus,Brevibacillus brevis,8.035424,Escherichia coli,8.035424,0.0
12,green_synthesis  by Bacillus sp.,semi-spherical,ZOI,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,3.0,51.9,89.0,0.16,30.0,3.0,Proteus,Sphingomonas paucimobilis,8.754335,Escherichia coli,8.754335,0.0
