,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species,pred_ZOI_norm,pathogenic_bacteria,pred_ZOI_pathogen,Fitness
0,green_synthesis using Camellia sinensis,cylindrical,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,2.65,26.38,26.38,0.16,30.0,2.0,Proteus,Haemophilus influenzae,8.097048,Escherichia coli,8.097048,0.0
1,green_synthesis by Deinococcus radiodurans,polygonal ,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,10.625,41.9,37.86,0.16,30.0,3.0,micrococcus,Proteus sp. (in: enterobacteria),16.564798,Escherichia coli,16.564798,0.0
2,green_synthesis from Luffa acutangula,spherical,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,66.0,62.0,69.0,0.16,30.0,3.0,Pseudomonas,micrococcus lotus,10.955194,Escherichia coli,10.955194,0.0
3,chemical_synthesis using sodium borohydride,rod-shaped,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,10.625,6.0,30.0,0.16,30.0,1.0,Penicillium,Citrobacter freundii,15.4815855,Escherichia coli,15.4815855,0.0
4,chemical_synthesis using Purpureocillium lilacinum,cube,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.0,51.3,16.0,0.16,30.0,2.0,Listeria,Aspergillus flavus,19.999498,Escherichia coli,19.999498,0.0
5,green_synthesis using Aloe vera leaf,triangular,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,16.0,79.0,18.0,0.16,30.0,1.0,micrococcus,Candida albicans,17.958786,Escherichia coli,17.958786,0.0
6,green_synthesis from  aqueous extract of Tamarindus indica L/,snowflake,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1.271,5.0,45.1,0.16,30.0,1.0,Serratia,Salmonella enterica subsp. enterica serovar Gallinarum,13.557728,Escherichia coli,13.557728,0.0
7,green_synthesis from S. cordifolia extract,clusters,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15.0,79.0,54.0,0.16,30.0,3.0,Burkholderia,Enterococcus faecium,16.184456,Escherichia coli,16.184456,0.0
8,green_synthesis from achyranthes aspera leaf extract,hexagonal,well_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,11.0,14.6,26.38,0.16,30.0,2.0,micrococcus,Shigella dysenteriae,19.199303,Escherichia coli,19.199303,0.0
9,green_synthesis using Prunus africana,nanorods,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,195.0,100.0,78.9,0.16,30.0,3.0,Aeromonas,Vibrio cholerae,16.050844,Escherichia coli,16.050844,0.0
10, green_synthesis using M. citrifolia,semi-spherical,ZOI,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,130.0,41.23,40.0,0.16,30.0,3.0,Aspergillus,Aspergillus flavus,21.070776,Escherichia coli,21.070776,0.0
11,green_synthesis from  Eurotium cristatum,clusters,well_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1.271,1.0,34.0,0.16,30.0,2.0,Enterobacter,Proteus mirabilis,18.056168,Escherichia coli,18.056168,0.0
12,chemical_synthesis by hydrolsis,ellipsoidal,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,250.0,38.0,25.9,0.16,30.0,1.0,micrococcus,Vibrio vulnificus,15.252369,Escherichia coli,15.252369,0.0
13,green_synthesis using Phlomis Leaf Extract,Spherical,well_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,70.0,11.0,40.0,0.16,30.0,3.0,Penicillium,Pseudomonas koreensis,17.349451,Escherichia coli,17.349451,0.0
14,green_synthesis using Prunus africana,globular,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2000.0,45.1,51.3,0.16,30.0,3.0,Enterococcus,Proteus vulgaris,22.052937,Escherichia coli,22.052937,0.0
15,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 50 mmol/kg Cu(CH3COO)2*H2O,semi-spherical,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.31,15.8,23.75,0.16,30.0,3.0,Acinetobacter,Aspergillus niger,15.577021,Escherichia coli,15.577021,0.0
16,chemical_synthesis using AgNO3,triangular,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,62.5,54.4,9.0,0.16,30.0,1.0,Bacillus,Salmonella enterica subsp. enterica serovar Typhimurium,12.651188,Escherichia coli,12.651188,0.0
17,chem_synthesis_thermal_reduction_of_Cu(NO3)2⋅3H2O,nanorods,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,30.0,100.0,59.0,0.16,30.0,1.0,Micrococcus,Aeromonas hydrophila,18.945772,Escherichia coli,18.945772,0.0
18,green_synthesis from fungus  Aspergillus flavus,quasi-spherical,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,15.6,14.0,34.0,0.16,30.0,3.0,Candida,Salmonella enterica subsp. enterica serovar Typhimurium,16.467075,Escherichia coli,16.467075,0.0
19,green_synthesis from S. cordifolia extract,globular,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,3.181816,77.0,70.0,0.16,30.0,1.0,Staphylococcus,Enterobacter cloacae,16.623047,Escherichia coli,16.623047,0.0
20,chemical_synthesis by wet chemical reduction approach,quasi-hexagonal,well_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,30.0,2.48,33.0,0.16,30.0,1.0,Klebsiella,Shigella dysenteriae,18.515747,Escherichia coli,18.515747,0.0
21,chemical_synthesis (sigma aldrich. 730785),cylindrical,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,66.0,45.1,40.0,0.16,30.0,3.0,Saccharomyces,Vibrio vulnificus,18.4466,Escherichia coli,18.4466,0.0
22,chemical_synthesis by two step sol-gel preparation,rod-shaped,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,28.0,14.45,37.86,0.16,30.0,3.0,Salmonella,Staphylococcus epidermidis,15.726693,Escherichia coli,15.726693,0.0
23,green_synthesis using Moringa oleifera (drumstick) fruit pulp aqueous extracts,spherical,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15000.0,20.0,74.0,0.16,30.0,1.0,Paracidovorax,Citrobacter freundii,15.606507,Escherichia coli,15.606507,0.0
24,green synthesis using flos sophorae,snowflake,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Fungi,non-pathogenic,p,soil,32.0,54.4,13.0,0.16,30.0,2.0,Penicillium digitatum,,13.866073,Escherichia coli,13.866073,0.0
25,green_synthesis using Phlomis Leaf Extract,spheroidal,ZOI,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1200.0,15.0,110.4,0.16,30.0,3.0,Listeria,Acinetobacter baumannii,17.256207,Escherichia coli,17.256207,0.0
26,green_synthesis using aqueous Cassiarox burghii leaf extract,polygonal ,disc_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.6355,56.9,27.43,0.16,30.0,1.0,Pseudomonas,Vibrio parahaemolyticus,19.389788,Escherichia coli,19.389788,0.0
27,green_synthesis from  Eurotium cristatum,cylindrical,disc_diffusion,Bacillus subtilis,48.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,12.0,6.0,40.0,0.16,30.0,3.0,Salmonella,,15.336058,Escherichia coli,15.336058,0.0
28,chemical_synthesis using thermal decomposition,ellipsoidal,disc_diffusion,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,32.0,57.1,45.3,0.16,30.0,3.0,Listeria,Pseudomonas koreensis,16.051668,Escherichia coli,16.051668,0.0
29,green_synthesis using aqueous extract of Ocimum tenuiflorum leaves. 10 mmol/kg Cu(CH3COO)2*H2O,spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,125.0,26.38,300.0,0.16,30.0,2.0,Bacillus subtilis,,16.200665,Escherichia coli,16.200665,0.0
30,green synthesis using melissa officinalis,clusters,disc_diffusion,Bacillus subtilis,21.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,80.0,12.0,46.0,0.16,30.0,2.0,Acinetobacter,Saccharomyces cerevisiae,16.94714,Escherichia coli,16.94714,0.0
31,green_synthesis using Aloe-vera leaf extract. 10 mmol/kg Cu(CH3COO)2*H2O,semi-spherical,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,600.0,110.2,44.0,0.16,30.0,2.0,Klebsiella,Klebsiella aerogenes,9.469146,Escherichia coli,9.469146,0.0
32,green synthesis using phoenix dactylifera seed,semi-spherical,disc_diffusion,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,0.2,27.43,54.0,0.16,30.0,3.0,Aeromonas,Salmonella enterica subsp. enterica serovar Gallinarum,20.51621,Escherichia coli,20.51621,0.0
33,green_synthesis using extract of corn leaves,snowflake,well_diffusion,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,180.0,45.0,31.0,0.16,30.0,2.0,Citrobacter,Salmonella enterica,17.223604,Escherichia coli,17.223604,0.0
34,green_synthesis using Acinetobacter calcoaceticus,polygonal ,ZOI,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,15000.0,9.0,25.8,0.16,30.0,3.0,Acinetobacter,Staphylococcus epidermidis,17.864927,Escherichia coli,17.864927,0.0
35,chemical synthesis using sodium borohydride,polygonal ,well_diffusion,Bacillus subtilis,18.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Eukaryota,non-pathogenic,p,soil,64.0,81.0,25.0,0.16,30.0,1.0,Stenotrophomonas,Paracidovorax avenae,15.596711,Escherichia coli,15.596711,0.0
36,green_synthesis using Phlomis Leaf Extract,quasi-spherical,ZOI,Bacillus subtilis,4.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.65,1.0,15.0,0.16,30.0,1.0,Escherichia,Proteus sp. (in: enterobacteria),10.190736,Escherichia coli,10.190736,0.0
37,chem_synthesis by sol-gel method,hexagonal,ZOI,Bacillus subtilis,12.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,70.0,45.3,35.0,0.16,30.0,1.0,Sphingomonas,Citrobacter braakii,18.322664,Escherichia coli,18.322664,0.0
38,chemical_synthesis using cerium nitrate,spheroidal,ZOI,Bacillus subtilis,20.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.95325,12.0,120.0,0.16,30.0,1.0,Haemophilus,Staphylococcus epidermidis,20.695599,Escherichia coli,20.695599,0.0
